station_uid,city_name,latitude,longitude,record_date,time_utc,aqi_overall,pm25,pm10,o3,no2,so2,co,temp,humidity,pressure,wind
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",14.03742,100.605216,2025-12-07,2025-12-07 14:00:00,84,84.0,44.0,19.4,,2.2,0.1,32.0,46.0,1012.0,3.6
1816,"Sukhothai Thammathirat Open University, Nonthaburi, Thailand (มหาวิทยาลัยสุโขทัยธรรมาธิราช)",13.907861,100.535641,2025-12-07,2025-12-07 14:00:00,89,89.0,47.0,6.4,6.4,0.6,0.1,32.0,49.0,1012.5,3.3
1838,"EGAT, Nonthaburi, Thailand (การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย (กฟผ.))",13.8069333,100.5355167,2025-12-07,2025-12-07 14:00:00,73,73.0,27.0,32.0,7.5,0.6,0.1,33.1,46.2,1011.5,1.5
1857,"Chulalongkorn Hospital, Bangkok, Thailand (โรงพยาบาลจุฬาลงกรณ์)",13.729852,100.536501,2025-12-07,2025-12-07 14:00:00,73,73.0,56.0,4.8,15.0,,0.1,34.1,8.5,1011.6,0.5
5773,Bangkok,13.7563309,100.5017651,2025-12-07,2025-12-07 14:00:00,65,65.0,26.0,30.4,4.7,0.6,0.1,34.1,51.9,1012.1,0.5
1813,"Nonsi Witthaya School, Bangkok, Thailand (โรงเรียนนนทรีวิทยา)",13.70806667,100.5473333,2025-12-07,2025-12-07 14:00:00,28,28.0,56.0,,15.0,,0.1,34.1,8.5,1011.6,0.5
1861,"National Housing Authority Dindaeng, Bangkok, Thailand (การเคหะชุมชนดินแดง)",13.76251667,100.5502,2025-12-07,2025-12-07 13:00:00,69,69.0,52.0,4.8,15.0,,0.1,33.1,46.2,1011.5,1.5
1864,"Bodindecha Sing Singhaseni School, Bangkok, Thailand (โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี))",13.769634,100.614567,2025-12-07,2025-12-07 13:00:00,62,62.0,49.0,6.7,12.7,,0.1,33.1,46.2,1011.5,1.5
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",13.636514,100.414262,2025-12-07,2025-12-07 12:00:00,72,72.0,67.0,0.4,,,,33.1,8.4,1013.6,0.5
1834,"Thai Meteorological Department Bangna,Bangkok, Thailand (กรมอุตุนิยมวิทยา (บางนา))",13.666183,100.605742,2025-12-07,2025-12-07 13:00:00,63,63.0,34.0,11.1,2.4,1.1,,32.7,45.8,1012.1,1.0
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",13.618,100.5562,2025-12-07,2025-12-07 14:00:00,65,65.0,23.0,13.4,9.3,0.6,0.1,32.7,45.8,1012.1,1.0
1842,"City Hall, Samut Prakan, Thailand (ศาลากลางจังหวัดสมุทรปราการ)",13.599149,100.597345,2025-12-07,2025-12-07 13:00:00,84,84.0,55.0,13.4,9.3,0.6,0.1,32.7,8.8,1012.5,2.5
12758,"The Bhubing Palace Doi Buak Ha, Thailand (พระตำหนักภูพิงคราชนิเวศน์)",13.779873,100.646009,2025-12-01,2025-12-01 20:00:00,98,98.0,49.0,6.7,12.7,,,28.0,51.0,1010.0,2.5
1814,"Highway District, Samut Sakhon, Thailand (แขวงการทางสมุทรสาคร)",13.7054879,100.315622,2025-12-07,2025-12-07 14:00:00,92,92.0,51.0,28.0,3.5,1.6,0.1,33.1,46.2,1011.5,1.5
1859,"Thonburi Power Sub-Station, Bangkok, Thailand (โรงไฟฟ้าย่อย ธนบุรี)",13.727622,100.486568,2025-12-07,2025-12-07 13:00:00,69,69.0,50.0,,13.3,,,33.1,46.2,1011.5,1.5
1862,"Public Relations Department, Bangkok, Thailand (กรมประชาสัมพันธ์)",13.783185,100.540489,2025-12-07,2025-12-07 14:00:00,63,63.0,32.0,30.4,4.7,,0.1,34.1,8.5,1011.6,0.5
1836,"Prabadang Rehabiltation Center, Samut Prakan, Thailand (ศูนย์ฟื้นฟูอาชีพคนพิการและทุพลภาพ สมุทรปราการ)",13.664087,100.543436,2025-12-07,2025-12-07 14:00:00,70,70.0,44.0,6.4,15.0,2.7,0.1,32.7,45.8,1012.1,1.0
1812,"Bansomdejchaopraya Rajabhat University, Bangkok, Thailand (มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา)",13.732846,100.487662,2025-12-07,2025-12-07 13:00:00,70,70.0,50.0,,13.3,,,33.1,46.2,1011.5,1.5
6814,"Provincial Administrative Organization, Samut Sakhon, Thailand (องค์การบริหารส่วนจังหวัดสมุทรสาคร)",13.5502631,100.2647676,2025-12-07,2025-12-07 10:00:00,139,139.0,33.0,2.8,7.5,2.7,,29.4,61.4,1013.7,2.0
6818,"Regional Environmental Office 8, Thailand (สำนักงานสิ่งแวดล้อมภาคที่ 8 ราชบุรี)",13.5234,99.814082,2025-12-02,2025-12-02 12:00:00,89,89.0,25.0,9.1,2.9,0.6,0.1,31.1,9.4,1008.2,3.0
1863,"Wang Yen Subdistrict Administrative, Chachoengsao, Thailand (องค์การบริหารส่วนตำบลวังเย็น)",13.5885,101.2863333,2025-12-07,2025-12-07 14:00:00,61,61.0,56.0,0.8,8.1,1.6,,33.0,42.0,1006.1,3.0
1821,"Field Crop Research Center, Rayong, Thailand (ศูนย์วิจัยพืชไร่ระยอง)",12.73518333,101.13565,2025-12-07,2025-12-07 14:00:00,33,33.0,42.0,8.7,8.7,1.1,0.1,31.2,8.7,1006.7,1.5
1849,"General Education Office, Chonburi, Thailand (สำนักงานสามัญศึกษาชลบุรี)",13.35461667,100.9792167,2025-12-07,2025-12-07 13:00:00,64,64.0,33.0,6.0,9.3,1.1,,33.2,57.2,1011.7,2.0
5107,"Government Center, Rayong, Thailand (ศูนย์ราชการระยอง)",12.7066,101.18055,2025-12-07,2025-12-07 13:00:00,56,56.0,30.0,7.5,11.0,2.2,0.1,31.7,9.5,1008.4,3.6
5534,"Pluakdaeng District Health Office, Thailand (สำนักงานสาธารณสุขอำเภอปลวกแดง)",12.97378333,101.21285,2025-12-07,2025-12-07 14:00:00,46,46.0,58.0,0.4,4.1,0.6,0.1,33.1,42.6,1006.6,2.5
8322,"Health Promotion Hospital Ban Khao Hin,Chonburi, Thailand (โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาหิน ชลบุรี)",13.054551,101.098128,2025-12-07,2025-12-07 14:00:00,64,64.0,51.0,5.6,7.5,0.6,,30.3,8.7,1004.2,3.0
5774,Rayong,12.707434,101.1473517,2025-12-07,2025-12-07 13:00:00,56,56.0,30.0,16.6,11.0,2.2,0.1,31.7,9.5,1008.4,3.6
1817,"Na Phralan Police Station Saraburi, Thailand (สถานีตำรวจภูธรหน้าพระลาน สระบุรี)",14.685833,100.871996,2025-12-07,2025-12-07 14:00:00,65,61.0,65.0,1.6,20.8,0.6,0.1,31.9,52.0,1011.3,0.5
1844,"Khao Noi Fire Station, Saraburi, Thailand (สถานีดับเพลิงเขาน้อย)",14.526343,100.926047,2025-12-07,2025-12-07 14:00:00,69,69.0,44.0,4.4,9.8,0.6,0.1,32.2,52.0,1011.4,0.5
9014,"Tha Tum, Si Maha Phot, Prachin Buri, Thailand (ต.ท่าตูม อ.ศรีมหาโพธิ จ.ปราจีนบุรี)",13.917563,101.590529,2025-12-07,2025-12-07 13:00:00,54,54.0,28.0,5.2,,,,33.0,43.6,1011.0,1.0
6817,"City Hall, Chiangmai, Thailand (ศาลากลางเชียงใหม่)",18.840732,98.96978,2025-12-07,2025-12-07 14:00:00,82,82.0,91.0,14.6,7.5,0.6,,31.0,9.1,975.0,1.5
5775,Chiang Mai,18.787747,98.9931284,2025-12-07,2025-12-07 14:00:00,66,66.0,82.0,14.6,7.5,0.6,,31.0,9.1,975.0,1.5
1829,"Natural Resources and Environment Office, Mae Hongson, Thailand (สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดแม่ฮ่องสอน)",19.30455,97.97165,2025-12-07,2025-12-07 14:00:00,21,21.0,14.0,4.8,3.5,,0.1,29.3,9.7,981.9,2.0
1822,"Yupparaj Wittayalai School, Chiangmai, Thailand (โรงเรียนยุพราชวิทยาลัย)",18.7909333,98.99,2025-12-07,2025-12-07 14:00:00,66,66.0,82.0,14.6,7.5,0.6,,31.0,9.1,975.0,1.5
1868,"Provincial Administrative Stadium, Lamphun, Thailand (สนามกีฬาองค์การบริหารส่วนจังหวัดลำพูน)",18.567194,99.038639,2025-12-07,2025-12-07 14:00:00,98,98.0,82.0,14.6,7.5,0.6,,30.0,55.0,1014.0,1.0
1823,"Lampang Meteorological Station, Thailand (สถานีอุตุนิยมวิทยาลำปาง)",18.2783333,99.5064666,2025-12-07,2025-12-07 13:00:00,75,75.0,75.0,11.5,1.8,0.6,0.1,30.8,62.5,986.1,0.5
1830,"Phrae Meteorological Station, Thailand (สถานีอุตุนิยมวิทยาแพร่)",18.1283666,100.1624333,2025-12-07,2025-12-07 14:00:00,80,80.0,68.0,6.7,8.7,0.6,0.1,31.0,61.4,995.1,1.5
1831,"Knowledge Park, Phayao, Thailand (อุทยานการเรียนรู้กว๊านพะเยา)",19.200226,99.893048,2025-12-07,2025-12-07 14:00:00,79,79.0,77.0,13.1,6.4,,0.1,29.0,62.4,968.9,0.5
9450,"Chiangrai - Gaia Station 01, Thailand",19.687157,100.19024,2025-12-07,2025-12-07 14:00:00,75,75.0,23.8,,,,,29.0,62.0,1016.0,2.0
8325,"Health Promotion Hospital Ta See, Lampang, Thailand (โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าสี ลำปาง)",18.4267833,99.7576333,2025-12-07,2025-12-07 13:00:00,73,73.0,12.0,0.8,1.2,0.6,0.1,30.8,62.5,986.1,0.5
5776,Mueang Chiang Rai,19.9104798,99.840576,2025-12-07,2025-12-07 14:00:00,82,82.0,34.0,12.7,0.6,,0.1,27.2,77.6,979.7,0.1
8324,"Health Promotion Hospital Sob Pad, Lampang, Thailand (โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสบป้าด ลำปาง)",18.2508166,99.76395,2025-12-07,2025-12-07 13:00:00,73,73.0,11.0,17.4,7.5,5.3,0.1,30.8,62.5,986.1,0.5
1867,"Municipality Office, Nan, Thailand (สำนักงานเทศบาลเมืองน่าน)",18.7888833,100.7763166,2025-12-07,2025-12-07 14:00:00,59,59.0,67.0,6.4,1.8,0.6,0.1,30.8,9.0,987.4,1.5
8503,"Huai Kon, Chaloem Phra Kiat, Nan, Thailand (ต.ห้วยโก๋น อ.เฉลิมพระเกียรติ จ.น่าน)",19.5759666,101.0815166,2025-12-07,2025-12-07 13:00:00,56,56.0,70.0,3.2,0.6,1.6,0.1,29.0,10.9,977.4,1.0
1828,"Natural Resources and Environment Office, Chiangrai, Thailand (สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดเชียงราย)",19.909217,99.823467,2025-12-07,2025-12-07 14:00:00,82,82.0,34.0,12.7,0.6,,0.1,27.2,77.6,979.7,0.1
1832,"Maesai Health Office, Chiangrai, Thailand (สำนักงานสาธารณสุขอำเภอแม่สาย เชียงราย)",20.439944444444,99.913666666667,2025-12-07,2025-12-07 14:00:00,95,95.0,149.0,,,,,29.2,9.7,969.0,1.0
9587,"Chiangrai - Gaia Station 07, Thailand",19.858547,99.90148,2025-12-07,2025-12-07 14:00:00,72,72.0,22.5,,,,,29.0,62.0,1016.0,2.0
1827,"Municipal Health Center 1, Phuket, Thailand (ศูนย์บริการสาธารณสุข 1 กองการแพทย์ เทศบาลนครภูเก็ต)",7.884488,98.391283,2025-12-07,2025-12-07 14:00:00,38,38.0,19.0,,1.8,0.6,,32.5,8.3,1009.0,1.0
1826,"Regional Environmental Office 14, Surat Thani, Thailand (สำนักงานสิ่งแวดล้อมภาคที่ 14)",9.126017,99.325145,2025-12-07,2025-12-07 14:00:00,40,40.0,48.0,4.4,,0.6,0.1,30.7,46.6,1012.4,2.0
3688,"Khonkaen, Thailand (ส่วนอุทกวิทยา สำนักงานทรัพยากรน้ำภาค 4 ขอนแก่น)",16.44538333,102.83525,2025-12-07,2025-12-07 09:00:00,76,76.0,,,,,,24.0,64.0,1018.0,2.5
13631,"Meteorological stations, Sakon Nakhon, Thailand (สถานีอุตุนิยมวิทยาสกลนคร)",17.15662,104.133216,2025-12-07,2025-12-07 14:00:00,41,41.0,19.0,,,,,29.2,10.2,993.5,1.0
13630,"Meteorological stations, Nakhon Phanom, Thailand (สถานีอุตุนิยมวิทยานครพนม)",17.412345,104.7786123,2025-12-07,2025-12-07 14:00:00,57,57.0,25.0,15.4,18.5,15.9,0.1,29.4,10.3,997.1,1.5
